,word,count
206,국위,2.0
206,국위선양국위선양,8.0
206,선양,2.0
206,아이,2.0
206,군면제,3.0
206,면제,2.0
206,최고,2.0
206,진지,2.0
206,고민,2.0
207,미국,2.0
207,좌익,2.0
207,금융,2.0
207,카르텔,3.0
207,꼭두각시,4.0
207,아저씨,3.0
207,아저씨단,4.0
207,여러분,3.0
207,군면제,3.0
207,면제,2.0
207,너희,2.0
207,머리카락,4.0
207,군면제가도,5.0
207,가도,2.0
207,다음주,3.0
207,차트,2.0
207,위로,2.0
207,좌절,2.0
207,눈물,2.0
208,축하,2.0
209,펭수,2.0
210,백인,2.0
210,언어,2.0
210,노래,2.0
210,미국,2.0
210,취득,2.0
210,블랙,2.0
210,블랙코메디,5.0
210,코메디,3.0
210,거기,2.0
210,컴플렉스,4.0
210,상징,2.0
210,머리카락,4.0
210,염색,2.0
211,국경,2.0
211,초월,2.0
211,세계,2.0
211,곳곳,2.0
211,조직적,3.0
211,아이,2.0
211,아이돌팬,4.0
211,지령,2.0
211,활동,2.0
211,모습,2.0
211,과거,2.0
211,사회,2.0
211,사회주의,4.0
211,주의,2.0
212,국익,2.0
212,군면제면제,5.0
212,면제,2.0
212,주라,2.0
212,병역,2.0
212,병역기간동안,6.0
212,기간,2.0
212,동안,2.0
212,홍보,2.0
212,홍보사진,4.0
212,사진,2.0
212,아미,2.0
212,중요성,3.0
212,중소기업,4.0
212,필요,2.0
213,우리,2.0
213,호르몬,3.0
213,호르몬전쟁,5.0
213,전쟁,2.0
213,노래,2.0
213,그때,2.0
213,주변,2.0
213,아무,2.0
213,설명,2.0
213,보드,2.0
213,최고,2.0
213,말로,2.0
213,멜론,2.0
213,처음,2.0
213,위로,2.0
213,대상,2.0
213,지금,2.0
213,소통,2.0
213,성실,2.0
213,그룹,2.0
214,대한,2.0
214,대한민국,4.0
214,민국,2.0
214,부존자원,4.0
214,자원,2.0
214,빈국,2.0
214,쓰럽,2.0
214,쓰럽게,3.0
214,세계,2.0
214,세계문화,4.0
214,문화,2.0
214,대통령,3.0
214,영어권,3.0
214,고장,2.0
214,미국,2.0
214,보드,2.0
214,싱글,2.0
214,싱글차트,4.0
214,차트,2.0
214,올림픽,3.0
214,월드컵,3.0
214,메달,2.0
214,메달딴것,4.0
214,딴것,2.0
214,비교,2.0
214,쾌거,2.0
214,요즘,2.0
214,요즘대세인,5.0
